truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9230,1852,73041.1894089104,0.00521491666318493,19.9815774022678,15401.6266592212,15000,1481.38868148556,1,4464.89285279863,1.04363095053024,0.716622424397664,3065.87528783302,0.11697652557137,1.04284266970731,1.06449741545792
L,9231,1755,81527.2469687459,0.00582094142752245,21.0920173452991,15401.6266592212,15000,1563.89756593316,1,4307.60390516177,1.00686598900888,0.641776521580872,2745.66732890064,0.129147240639312,1.03321596083963,1.04420783402349
L,9232,1668,90757.9003328825,0.00648611731367092,22.1945190515588,15401.6266592213,15000,1645.84777915056,1,4267.35593483364,0.997458366269591,0.566971854013272,2425.63578383304,0.14055666006973,1.02639460933196,1.03571463569512
L,9233,1588,101005.36987437,0.00723086759672292,23.298314965995,15401.6266592213,15000,1727.92827887342,1,4932.08027715642,1.1528320605754,0.532944647127982,2280.05957919323,0.150587682029498,1.02235199146853,1.03594256290443
L,9234,1518,112221.334984776,0.0076043519730247,24.3983896923584,15355.2744616186,15000,1231.13032731272,1,5552.72815131436,1.30182116866079,0.535789393795525,2285.33144315405,0.176919581267124,1.01993739718725,1.03506544686632
L,9235,1452,124313.294676179,0.00840917067263843,25.5031418319559,15355.2744616186,15000,1287.06277717946,1,6067.59626431426,1.42253051914702,0.515346552713384,2198.13548882307,0.187556191040235,1.01685966101887,1.03314008756007
L,9236,1392,137709.534877389,0.0093027881923959,26.6053991882184,15355.2744616186,15000,1342.89626646469,1,8044.62096449365,1.88603828245244,0.587473581784701,2505.78280201508,0.204899488701327,1.0173796545173,1.03436980525142
L,9237,1337,152668.805951717,0.0102987838539544,27.7023157359761,15355.2744616186,15000,1398.49285099741,1,9741.26715038549,2.28381210827872,0.79329939352983,3383.70275496839,0.225133161895108,1.02114027917713,1.03839000389743
L,9238,1285,168593.940381262,0.0113642156595943,28.7949503463035,15355.2744616186,15000,1453.90143804612,1,9591.41963530099,2.24868078870169,0.998835765963631,4260.38814679241,0.248192550937896,1.02475625856463,1.04032711947174
L,9239,1239,184829.58421322,0.0124538331041001,29.8828913841808,15355.2744616186,15000,1509.09404161746,1,10194.9081198615,2.39016693079887,1.04185838535752,4443.89484925098,0.276081894681116,1.02396812036034,1.03605909266012
L,9240,1196,201107.423525677,0.0135446566685226,30.9578268494983,15355.2744616186,15000,1563.64760556134,1,9694.4795994433,2.27284290132557,0.905621302460754,3862.79546043707,0.309139509424522,1.01924509638886,1.0254679164323
L,9241,1156,218137.138485813,0.0147119657545649,32.013609782872,15355.2744616186,15000,1617.25376704746,1,9932.49494709878,2.32864491604706,0.809425000770118,3452.48417858919,0.350986735522288,1.01636611659402,1.01557895304585
